Date,Description,Category,Amount,Type
2025-07-01,Office Rent,Rent,50000,Expense
2025-07-02,Facebook Ads,Marketing,10000,Expense
2025-07-03,Generator Fuel,Utilities,8000,Expense
2025-07-04,Sales Revenue,Income,15000000,Income
2025-07-05,Employee Salary,Salaries,40000,Expense
2025-07-06,Website Hosting,IT Services,3500,Expense
2025-07-07,Logistics Delivery,Operations,6000,Expense
2025-07-08,New Laptops Purchase,Equipment,25000,Expense
2025-07-09,Social Media Ads,Marketing,7000,Expense
2025-07-10,Client Payment A,Income,300000,Income
2025-07-11,Client Payment B,Income,250000,Income
2025-07-12,Water Bill,Utilities,2000,Expense
2025-07-13,Internet Subscription,Utilities,5000,Expense
2025-07-14,Local Transport,Operations,3000,Expense
2025-07-15,Printer Ink,Office Supplies,2500,Expense
2025-07-16,Stationery,Office Supplies,1500,Expense
2025-07-17,Freelancer Payment,Salaries,15000,Expense
2025-07-18,Software Subscription,IT Services,5000,Expense
2025-07-19,Customer Refunds,Returns,4000,Expense
2025-07-20,Graphics Designer Fee,Marketing,8000,Expense
2025-07-21,Sales Revenue,Income,4000000,Income
2025-07-22,New Office Chairs,Equipment,12000,Expense
2025-07-23,Business Lunch,Entertainment,3000,Expense
2025-07-24,Power Supply Repairs,Maintenance,7000,Expense
2025-07-25,Employee Transport,Salaries,3500,Expense
2025-07-26,Client Payment C,Income,200000,Income
2025-07-27,Sales Revenue,Income,150000,Income
2025-07-28,Cleaning Services,Maintenance,4000,Expense
2025-07-29,Team Snacks,Entertainment,1500,Expense
2025-07-30,Cloud Storage Subscription,IT Services,2000,Expense
2025-07-31,Final Monthly Sales,Income,205000,Income
2025-08-01,Family Movie Night,Entertainment,4000,Expense
2025-08-02,Kids School Fees,Education,30000,Expense
2025-08-03,Grocery Shopping,Household,15000,Expense
2025-08-04,Date Night Dinner,Entertainment,7000,Expense
2025-08-05,Kids Pocket Money,Allowance,2500,Expense
